"VE_TOTAL","PERSONS","PEDS","NO_LANES","SP_LIMIT","FATALS","DRUNK_DR"
<node height="30.0">
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 0.0, 2.0, 25.0, 2.0, 0.0
1.0, 2.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 2.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 1.0, 0.0, 1.0, 25.0, 1.0, 1.0
2.0, 1.0, 0.0, 1.0, 25.0, 1.0, 1.0
3.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
3.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 1.0, 0.0, 2.0, 25.0, 1.0, 0.0
3.0, 3.0, 0.0, 2.0, 25.0, 1.0, 1.0
3.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
